+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                     ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u_c5_niosii_spi_slvsec|spi                                                                                                                                ; 25    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|pll_0                                                                                                                              ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|rst_controller_001|alt_rst_req_sync_uq1                                                                                 ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|rst_controller_001|alt_rst_sync_uq1                                                                                     ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|rst_controller_001                                                                                                      ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|rst_controller|alt_rst_req_sync_uq1                                                                                     ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|rst_controller|alt_rst_sync_uq1                                                                                         ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|rst_controller                                                                                                          ; 33    ; 30             ; 0            ; 30             ; 2      ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|irq_mapper                                                                                                              ; 5     ; 29             ; 2            ; 29             ; 32     ; 29              ; 29            ; 29              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_009|error_adapter_0                                                                 ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_009                                                                                 ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_008|error_adapter_0                                                                 ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_008                                                                                 ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_007|error_adapter_0                                                                 ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_007                                                                                 ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_006|error_adapter_0                                                                 ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_006                                                                                 ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_005|error_adapter_0                                                                 ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_005                                                                                 ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_004|error_adapter_0                                                                 ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_004                                                                                 ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_003|error_adapter_0                                                                 ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_003                                                                                 ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_002|error_adapter_0                                                                 ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_002                                                                                 ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_001|error_adapter_0                                                                 ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter_001                                                                                 ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter|error_adapter_0                                                                     ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|avalon_st_adapter                                                                                     ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_mux_001|arb|adder                                                                                 ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_mux_001|arb                                                                                       ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_mux_001                                                                                           ; 223   ; 0              ; 0            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_mux|arb|adder                                                                                     ; 40    ; 20             ; 0            ; 20             ; 20     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_mux|arb                                                                                           ; 14    ; 0              ; 4            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_mux                                                                                               ; 1103  ; 0              ; 0            ; 0              ; 120    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_demux_009                                                                                         ; 113   ; 1              ; 2            ; 1              ; 111    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_demux_008                                                                                         ; 113   ; 1              ; 2            ; 1              ; 111    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_demux_007                                                                                         ; 113   ; 1              ; 2            ; 1              ; 111    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_demux_006                                                                                         ; 113   ; 1              ; 2            ; 1              ; 111    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_demux_005                                                                                         ; 114   ; 4              ; 2            ; 4              ; 221    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_demux_004                                                                                         ; 113   ; 1              ; 2            ; 1              ; 111    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_demux_003                                                                                         ; 113   ; 1              ; 2            ; 1              ; 111    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_demux_002                                                                                         ; 114   ; 4              ; 2            ; 4              ; 221    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_demux_001                                                                                         ; 113   ; 1              ; 2            ; 1              ; 111    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|rsp_demux                                                                                             ; 113   ; 1              ; 2            ; 1              ; 111    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_009                                                                                           ; 113   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_008                                                                                           ; 113   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_007                                                                                           ; 113   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_006                                                                                           ; 113   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_005|arb|adder                                                                                 ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_005|arb                                                                                       ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_005                                                                                           ; 223   ; 0              ; 0            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_004                                                                                           ; 113   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_003                                                                                           ; 113   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_002|arb|adder                                                                                 ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_002|arb                                                                                       ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_002                                                                                           ; 223   ; 0              ; 0            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux_001                                                                                           ; 113   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_mux                                                                                               ; 113   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_demux_001                                                                                         ; 123   ; 4              ; 10           ; 4              ; 221    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|cmd_demux                                                                                             ; 131   ; 100            ; 2            ; 100            ; 1101   ; 100             ; 100           ; 100             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|nios2_gen2_0_instruction_master_limiter                                                               ; 224   ; 0              ; 0            ; 0              ; 231    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|nios2_gen2_0_data_master_limiter                                                                      ; 224   ; 0              ; 0            ; 0              ; 231    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_011|the_default_decode                                                                         ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_011                                                                                            ; 103   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_010|the_default_decode                                                                         ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_010                                                                                            ; 103   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_009|the_default_decode                                                                         ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_009                                                                                            ; 103   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_008|the_default_decode                                                                         ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_008                                                                                            ; 103   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_007|the_default_decode                                                                         ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_007                                                                                            ; 103   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_006|the_default_decode                                                                         ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_006                                                                                            ; 103   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_005|the_default_decode                                                                         ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_005                                                                                            ; 103   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_004|the_default_decode                                                                         ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_004                                                                                            ; 103   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_003|the_default_decode                                                                         ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_003                                                                                            ; 103   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_002|the_default_decode                                                                         ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_002                                                                                            ; 103   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_001|the_default_decode                                                                         ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router_001                                                                                            ; 103   ; 0              ; 6            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router|the_default_decode                                                                             ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|router                                                                                                ; 103   ; 0              ; 6            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|key_s1_agent_rsp_fifo                                                                                 ; 143   ; 39             ; 0            ; 39             ; 102    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|key_s1_agent|uncompressor                                                                             ; 35    ; 1              ; 0            ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|key_s1_agent                                                                                          ; 289   ; 39             ; 47           ; 39             ; 301    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|sw_s1_agent_rsp_fifo                                                                                  ; 143   ; 39             ; 0            ; 39             ; 102    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|sw_s1_agent|uncompressor                                                                              ; 35    ; 1              ; 0            ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|sw_s1_agent                                                                                           ; 289   ; 39             ; 47           ; 39             ; 301    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|led_s1_agent_rsp_fifo                                                                                 ; 143   ; 39             ; 0            ; 39             ; 102    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|led_s1_agent|uncompressor                                                                             ; 35    ; 1              ; 0            ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|led_s1_agent                                                                                          ; 289   ; 39             ; 47           ; 39             ; 301    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|timer_0_s1_agent_rsp_fifo                                                                             ; 143   ; 39             ; 0            ; 39             ; 102    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|timer_0_s1_agent|uncompressor                                                                         ; 35    ; 1              ; 0            ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|timer_0_s1_agent                                                                                      ; 289   ; 39             ; 47           ; 39             ; 301    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|onchip_memory2_0_s1_agent_rsp_fifo                                                                    ; 143   ; 39             ; 0            ; 39             ; 102    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|onchip_memory2_0_s1_agent|uncompressor                                                                ; 35    ; 1              ; 0            ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_c5_niosii_spi_slvsec|niosii_cpu|mm_interconnect_0|onchip_memory2_0_s1_agent                                                                             ; 289   ; 39             ; 47           ; 39             ; 301    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
